"C1.spc - RawData"
"Wavelength nm."	"Abs."
220.00	0.023
222.00	0.017
224.00	0.012
226.00	0.009
228.00	0.006
230.00	0.004
232.00	0.002
234.00	0.001
236.00	0.000
238.00	-0.000
240.00	-0.001
242.00	-0.002
244.00	-0.002
246.00	-0.003
248.00	-0.003
250.00	-0.003
252.00	-0.003
254.00	-0.003
256.00	-0.003
258.00	-0.003
260.00	-0.003
262.00	-0.003
264.00	-0.003
266.00	-0.002
268.00	-0.003
270.00	-0.003
272.00	-0.003
274.00	-0.003
276.00	-0.003
278.00	-0.003
280.00	-0.003
282.00	-0.003
284.00	-0.003
286.00	-0.003
288.00	-0.003
290.00	-0.003
292.00	-0.003
294.00	-0.003
296.00	-0.003
298.00	-0.003
300.00	-0.003
302.00	-0.003
304.00	-0.001
306.00	-0.004
308.00	-0.004
310.00	-0.004
312.00	-0.004
314.00	-0.004
316.00	-0.004
318.00	-0.004
320.00	-0.004
322.00	-0.003
324.00	-0.004
326.00	-0.004
328.00	-0.003
330.00	-0.004
332.00	-0.004
334.00	-0.004
336.00	-0.004
338.00	-0.004
340.00	-0.003
342.00	-0.003
344.00	-0.004
346.00	-0.003
348.00	-0.004
350.00	-0.004
352.00	-0.004
354.00	-0.004
356.00	-0.004
358.00	-0.004
360.00	-0.004
362.00	-0.004
364.00	-0.005
366.00	-0.004
368.00	-0.004
370.00	-0.004
372.00	-0.004
374.00	-0.003
376.00	-0.003
378.00	-0.003
380.00	-0.003
382.00	-0.003
384.00	-0.003
386.00	-0.003
388.00	-0.003
390.00	-0.003
392.00	-0.003
394.00	-0.003
396.00	-0.003
398.00	-0.003
400.00	-0.003
